  001_lbl_titulo   = Zählberichte 
  mn_reportes   = Berichte 
  mn_acreditaciones   = Akkreditierungen 
  mn_InformacionReportes   = Berichtsinformationen 
  023_lblSubTituloreportes   = Berichte 
  024_lblDescripcion   = Beschreibung 
  info_msg_grd_vazio   = Keine Daten zum Anzeigen 
  024_btnGenerarInforme   = Berichte erstellen 
  023_btnAdicionar   = Neue Konfiguration 
  027_titulo_pagina   = Verwaltung und allgemeine Konfiguration von Berichten 
  023_titulo_pagina   = Berichte 
  027_lbl_Reporte   = Bericht 
  026_col_CodReporte   = ID 
  026_col_FormatoArchivo   = Dateiformat 
  026_col_ExtensionArchivo   = Dateierweiterung 
  026_col_Separador   = Separator 
  024_lblCodigoConfiguracion   = Beschreibung der Konfiguration 
  024_lblNombreArchivo   = Dateiname 
  024_lblRuta   = Route 
  027_lblFiltros   = Konfiguration des Berichtsfilters 
  023_btnGerarRelatorio   = Berichte erstellen 
  btnlimpiar   = Löschen 
  023_btnEditar   = Bericht konfigurieren 
  023_btnExcluir   = Konfiguration löschen 
  023_btnConfiguracionGeneral   = Allgemeine Einstellungen 
  026_titulo_pagina   = Allgemeine Berichtseinstellungen 
  026_col_DesReporte   = Bericht 
  btnModificacion   = Änderung 
  InformacionReportes_titulo_pagina   = Berichtsinformationen 
  InformacionReportes_lbl_SubTitulo   = Berichtsinformationen 
  InformacionReportes_btnExportar   = Exportieren 
