//--------------------------------------------------------------------------------------
// GENÉRICO
//--------------------------------------------------------------------------------------
gen_err												=错误
ATM_gen_btngrabar										= 记录
gen_btnsalir										= 离开
gen_btnOK											= 行
ATM_gen_btnBuscar										= 寻求
gen_btnLimpiar										= 清洁
gen_btnAnadir										= 加
gen_btnModificar									= 修改
gen_btnBorrar										= 删除
gen_btnNuevo										= 新
gen_msn_gravar										= 操作成功！
gen_msn_obrigatorio									= 该字段{0}是必需的。
gen_msg_atributos_vacio								= O（s）参数项{0}（）至（m）被告知资料。
gen_msg_coleccion_incompleta						= 一套现场“{0}”是不完整的！
gen_msg_no_hay_registro_retornado					= 输入的搜索没有记录（次）（次）标准（S）（S）！
gen_tipoEfectivo									= 有效
GENESIS_gen_msg_intancia_app						= 应用程序已在使用。
gen_btnConsultar									= Consultar

//--------------------------------------------------------------------------------------
// CONSTANTES
//--------------------------------------------------------------------------------------
con_cod_motivo_001_intervencion_descuadre_registro_tira			 = 登记条差异。
con_cod_motivo_002_intervencion_descuadre_registro_tira_descarga = 带材中的差异，则该值不匹配记录，可在前面的货物吊带生于值。
con_cod_motivo_003_intervencion_descuadre_interno_tira_descarga	 = 差分内部狭长，总金额Cajeros无法比拟的。
con_cod_motivo_004_intervencion_descuadre_valor_total_carga		 = 加载的值不符合预期的武装和第二数量的ATM条状放电。
con_cod_motivo_005_intervencion_descuadre_interno_tira_carga	 = 差分内部狭长，总金额Cajeros无法比拟的。
con_cod_motivo_006_intervencion_descuadre_registro_tira_simples_descarga = 地带的不匹配，不匹配值加载已注册的评级。

//--------------------------------------------------------------------------------------
// APLICAÇÃO
//--------------------------------------------------------------------------------------
app_NoFuePosibleCargarArchivoAplicacion				= 无法加载配置文件的应用程序。
ATM_app_NoFuePosibleCargarParametrosAplicacion			= 无法加载应用程序的参数。

//--------------------------------------------------------------------------------------
// TOPO
//--------------------------------------------------------------------------------------
ATM_top_lbl_centro										= 自动取款机
top_lblversion										= 版本
top_build											= 建立

//--------------------------------------------------------------------------------------
// MENU
//--------------------------------------------------------------------------------------
mnu_asociar_tira_cajero_red							= 注册地带格式（F2）
mnu_mantener_formato_tira							= 保持格式COP（F3）
mnu_registrar_tira									= 注册COP（F4）
mnu_btn_sair										= 退出（F12）
mnu_acao_no_implementada							= 没有实施行动。
mnu_mantener_tira									= Mantener Tira (F6)

//--------------------------------------------------------------------------------------
// ERRO
//--------------------------------------------------------------------------------------
ATM_000_titulo_msgbox									= 自动取款机
000_btn_ok											= 行
000_error_link_detalle								= 详细信息
000_error_link_copiar								= 复制
000_msgerrogenerico									= 在应用程序中有一个错误。
000_msg_sempermissao								= 未经允许的用户。
000_ATM_LogarErroMensagemEventViewer					= 错误的ATM

//--------------------------------------------------------------------------------------
// LOGIN
//--------------------------------------------------------------------------------------
ATM_lgn_titulo											= 用户标识
lgn_btnaceptar										= _Aceitar
lgn_btncancelar										= _cancel
lgn_lblusuario										= 用户
lgn_lblpuesto										= 邮寄
